question,answer,type,columns_used,column_types,sample_answer,dataset
Is the person with the highest net worth self-made?,True,boolean,"['finalWorth', 'selfMade']","['number[uint32]', 'boolean']",False,001_Forbes
Does the youngest billionaire identify as male?,True,boolean,"['age', 'gender']","['number[UInt8]', 'category']",True,001_Forbes
Is the city with the most billionaires in the United States?,True,boolean,"['city', 'country']","['category', 'category']",True,001_Forbes
Is there a non-self-made billionaire in the top 5 ranks?,True,boolean,"['rank', 'selfMade']","['number[uint16]', 'boolean']",False,001_Forbes
Does the oldest billionaire have a philanthropy score of 5?,False,boolean,"['age', 'philanthropyScore']","['number[UInt8]', 'number[UInt8]']",False,001_Forbes
What is the age of the youngest billionaire?,19.0,number,['age'],['number[UInt8]'],32.0,001_Forbes
How many billionaires are there from the 'Technology' category?,343,number,['category'],['category'],0,001_Forbes
What's the total worth of billionaires in the 'Automotive' category?,583600,number,"['category', 'finalWorth']","['category', 'number[uint32]']",0,001_Forbes
How many billionaires have a philanthropy score above 3?,25,number,['philanthropyScore'],['number[UInt8]'],0,001_Forbes
What's the rank of the wealthiest non-self-made billionaire?,3,number,"['selfMade', 'rank']","['boolean', 'number[uint16]']",288,001_Forbes
Which category does the richest billionaire belong to?,Automotive,category,"['finalWorth', 'category']","['number[uint32]', 'category']",Food & Beverage,001_Forbes
What's the country of origin of the oldest billionaire?,United States,category,"['age', 'country']","['number[UInt8]', 'category']",United Kingdom,001_Forbes
What's the gender of the billionaire with the highest philanthropy score?,M,category,"['philanthropyScore', 'gender']","['number[UInt8]', 'category']",M,001_Forbes
What's the source of wealth for the youngest billionaire?,drugstores,category,"['age', 'source']","['number[UInt8]', 'category']",fintech,001_Forbes
What is the title of the billionaire with the lowest rank?,,category,"['rank', 'title']","['number[uint16]', 'category']",,001_Forbes
List the top 3 countries with the most billionaires.,"['United States', 'China', 'India']",list[category],['country'],['category'],"['United States', 'China', 'Brazil']",001_Forbes
List the top 5 sources of wealth for billionaires.,"['real estate', 'investments', 'pharmaceuticals', 'diversified', 'software']",list[category],['source'],['category'],"['diversified', 'media, automotive', 'Semiconductor materials', 'WeWork', 'beverages']",001_Forbes
List the top 4 cities where the youngest billionaires live.,"['', 'Los Angeles', 'Jiaozuo', 'Oslo']",list[category],"['age', 'city']","['number[UInt8]', 'category']","['San Francisco', 'New York', 'Wuhan', 'Bangalore']",001_Forbes
List the bottom 3 categories with the fewest billionaires.,"['Logistics', 'Sports', 'Gambling & Casinos']",list[category],['category'],['category'],"['Service', 'Fashion & Retail', 'Manufacturing']",001_Forbes
List the bottom 2 countries with the least number of billionaires.,"['Colombia', 'Andorra']",list[category],['country'],['category'],"['Canada', 'Egypt']",001_Forbes
